Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.74169,  0.30717,  1.36595, -0.73442,  0.36296,  1.27518
2, -0.73975,  0.34130,  1.34414, -0.73182,  0.39259,  1.27435
3, -0.73747,  0.37201,  1.33726, -0.72969,  0.50370,  1.27336
4, -0.73449,  0.35836,  1.36518, -0.72699,  0.54074,  1.27258
5, -0.73235,  0.44027,  1.36500, -0.72466,  0.57037,  1.27158
6, -0.73155,  0.42321,  1.35251, -0.72227,  0.58519,  1.27068
7, -0.73009,  0.53584,  1.33433, -0.71967,  0.62222,  1.26974
8, -0.72760,  0.54608,  1.37279, -0.71690,  0.65926,  1.26932
9, -0.72530,  0.58362,  1.35176, -0.71445,  0.68889,  1.26819
10, -0.72465,  0.58020,  1.32421, -0.71170,  0.73333,  1.26756
11, -0.72629,  0.59044,  1.33698, -0.71021,  0.74815,  1.26715
12, -0.72116,  0.65188,  1.36631, -0.70891,  0.75556,  1.26684
13, -0.71918,  0.61433,  1.38773, -0.70775,  0.76296,  1.26652
14, -0.72054,  0.62116,  1.36564, -0.70644,  0.78519,  1.26627
15, -0.71731,  0.63481,  1.35718, -0.70518,  0.79259,  1.26619
16, -0.71760,  0.63481,  1.31020, -0.70401,  0.79259,  1.26628
17, -0.71750,  0.60410,  1.34820, -0.70270,  0.79259,  1.26617
18, -0.71436,  0.67235,  1.37088, -0.70136,  0.79259,  1.26608
19, -0.71368,  0.63823,  1.34195, -0.69985,  0.78519,  1.26604
20, -0.71598,  0.69283,  1.32504, -0.69854,  0.77778,  1.26625
21, -0.70971,  0.64164,  1.38342, -0.69801,  0.77778,  1.26629
22, -0.71067,  0.67235,  1.36171, -0.69706,  0.77037,  1.26629
23, -0.71261,  0.66553,  1.38847, -0.69628,  0.77037,  1.26634
24, -0.70912,  0.68259,  1.37295, -0.69580,  0.77037,  1.26640
25, -0.71171,  0.66553,  1.39185, -0.69498,  0.77778,  1.26642
26, -0.70967,  0.66553,  1.37527, -0.69454,  0.77778,  1.26648
27, -0.71228,  0.66894,  1.33872, -0.69368,  0.77778,  1.26659
28, -0.70851,  0.67235,  1.34551, -0.69294,  0.78519,  1.26663
29, -0.70672,  0.65188,  1.35094, -0.69234,  0.78519,  1.26667
30, -0.70964,  0.66894,  1.34692, -0.69169,  0.78519,  1.26671
31, -0.70740,  0.68942,  1.32303, -0.69116,  0.78519,  1.26671
32, -0.70882,  0.66553,  1.37824, -0.69080,  0.78519,  1.26677
33, -0.70503,  0.67577,  1.37473, -0.69062,  0.78519,  1.26681
34, -0.70444,  0.68942,  1.36793, -0.69022,  0.78519,  1.26685
35, -0.70898,  0.67918,  1.35063, -0.69012,  0.78519,  1.26690
36, -0.70116,  0.68601,  1.34162, -0.68945,  0.78519,  1.26694
37, -0.70886,  0.68259,  1.32816, -0.68917,  0.78519,  1.26698
38, -0.70666,  0.66212,  1.32408, -0.68896,  0.78519,  1.26703
39, -0.70398,  0.71331,  1.37077, -0.68835,  0.78519,  1.26708
40, -0.70258,  0.69625,  1.38913, -0.68806,  0.78519,  1.26711
41, -0.70658,  0.70307,  1.37834, -0.68803,  0.78519,  1.26714
42, -0.70576,  0.69625,  1.29743, -0.68764,  0.78519,  1.26715
43, -0.70222,  0.68259,  1.33652, -0.68749,  0.78519,  1.26717
44, -0.70570,  0.68601,  1.33159, -0.68754,  0.78519,  1.26717
45, -0.70172,  0.69625,  1.30062, -0.68710,  0.78519,  1.26719
46, -0.70446,  0.68601,  1.38058, -0.68697,  0.78519,  1.26723
47, -0.70592,  0.69283,  1.37012, -0.68678,  0.78519,  1.26726
48, -0.70043,  0.69625,  1.34091, -0.68662,  0.78519,  1.26730
49, -0.69945,  0.69283,  1.32847, -0.68635,  0.78519,  1.26734
50, -0.70075,  0.70648,  1.36886, -0.68663,  0.78519,  1.26737

Mean validation ll: -0.69986, Mean validation accuracy:  0.73852, Mean validation RMSE:  1.26765
