Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.73100,  0.16724,  1.31628, -0.72073,  0.14074,  1.32676
2, -0.73361,  0.20478,  1.36111, -0.71750,  0.14074,  1.32566
3, -0.72933,  0.20478,  1.30778, -0.71433,  0.14815,  1.32368
4, -0.72669,  0.23208,  1.32929, -0.71132,  0.20741,  1.32210
5, -0.72104,  0.27304,  1.30512, -0.70848,  0.25185,  1.32052
6, -0.72144,  0.29693,  1.34788, -0.70570,  0.30370,  1.31952
7, -0.72042,  0.35836,  1.29223, -0.70293,  0.41481,  1.31871
8, -0.71688,  0.41297,  1.31637, -0.69960,  0.51111,  1.31790
9, -0.71547,  0.37884,  1.33701, -0.69665,  0.54074,  1.31757
10, -0.71221,  0.41297,  1.29751, -0.69404,  0.59259,  1.31687
11, -0.71313,  0.49829,  1.32486, -0.69255,  0.58519,  1.31644
12, -0.70727,  0.47099,  1.31831, -0.69128,  0.59259,  1.31627
13, -0.70566,  0.48123,  1.29819, -0.68959,  0.62222,  1.31611
14, -0.70524,  0.52218,  1.33950, -0.68811,  0.66667,  1.31572
15, -0.70810,  0.51195,  1.33020, -0.68647,  0.70370,  1.31545
16, -0.70724,  0.51536,  1.29773, -0.68514,  0.73333,  1.31528
17, -0.70366,  0.55973,  1.29203, -0.68325,  0.74074,  1.31516
18, -0.70250,  0.55631,  1.32130, -0.68188,  0.74815,  1.31507
19, -0.69978,  0.56997,  1.35241, -0.68031,  0.74815,  1.31492
20, -0.70268,  0.55631,  1.32074, -0.67909,  0.74815,  1.31462
21, -0.70023,  0.59044,  1.32158, -0.67822,  0.74815,  1.31446
22, -0.70201,  0.60410,  1.28277, -0.67744,  0.75556,  1.31432
23, -0.69614,  0.57679,  1.34527, -0.67683,  0.75556,  1.31435
24, -0.69860,  0.58703,  1.29298, -0.67601,  0.75556,  1.31422
25, -0.69751,  0.57338,  1.34157, -0.67526,  0.75556,  1.31394
26, -0.69840,  0.61092,  1.29478, -0.67454,  0.75556,  1.31386
27, -0.69642,  0.61775,  1.25810, -0.67369,  0.75556,  1.31375
28, -0.69546,  0.61092,  1.31552, -0.67322,  0.76296,  1.31370
29, -0.69536,  0.63823,  1.31628, -0.67227,  0.76296,  1.31369
30, -0.69480,  0.61433,  1.29823, -0.67144,  0.76296,  1.31364
31, -0.69667,  0.59727,  1.29873, -0.67106,  0.75556,  1.31357
32, -0.69109,  0.61433,  1.32579, -0.67082,  0.75556,  1.31358
33, -0.69664,  0.63140,  1.31169, -0.67038,  0.75556,  1.31362
34, -0.69095,  0.64164,  1.32395, -0.67025,  0.75556,  1.31363
35, -0.69501,  0.62457,  1.29680, -0.66980,  0.75556,  1.31356
36, -0.69606,  0.59386,  1.27976, -0.66955,  0.75556,  1.31348
37, -0.69284,  0.60410,  1.32482, -0.66908,  0.75556,  1.31335
38, -0.69048,  0.61092,  1.33501, -0.66854,  0.75556,  1.31329
39, -0.68983,  0.63481,  1.34373, -0.66823,  0.75556,  1.31326
40, -0.69492,  0.61433,  1.32092, -0.66793,  0.75556,  1.31327
41, -0.69058,  0.67577,  1.25925, -0.66768,  0.75556,  1.31325
42, -0.69203,  0.68259,  1.29333, -0.66754,  0.75556,  1.31321
43, -0.68942,  0.63823,  1.32156, -0.66743,  0.75556,  1.31316
44, -0.69082,  0.64505,  1.32778, -0.66704,  0.76296,  1.31314
45, -0.68862,  0.64846,  1.32492, -0.66680,  0.76296,  1.31313
46, -0.68996,  0.61775,  1.35417, -0.66697,  0.76296,  1.31312
47, -0.68883,  0.64846,  1.32312, -0.66674,  0.76296,  1.31309
48, -0.68870,  0.66212,  1.36323, -0.66631,  0.76296,  1.31305
49, -0.69157,  0.63481,  1.30690, -0.66638,  0.76296,  1.31302
50, -0.69066,  0.63823,  1.32883, -0.66616,  0.76296,  1.31297

Mean validation ll: -0.68085, Mean validation accuracy:  0.65748, Mean validation RMSE:  1.31540
