Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.57368,  0.69966,  1.28308, -0.43299,  0.78519,  1.25514
2, -0.43620,  0.72696,  1.27371, -0.36768,  0.78519,  1.23044
3, -0.37037,  0.73379,  1.32262, -0.33343,  0.78519,  1.21452
4, -0.32812,  0.73379,  1.26895, -0.30640,  0.77037,  1.18974
5, -0.27580,  0.73038,  1.21807, -0.27815,  0.74815,  1.17987
6, -0.21696,  0.76109,  1.22535, -0.26094,  0.78519,  1.18197
7, -0.15695,  0.80887,  1.16023, -0.24783,  0.76296,  1.15881
8, -0.10852,  0.79181,  1.13968, -0.20236,  0.75556,  1.13348
9, -0.06138,  0.82935,  1.15733, -0.19133,  0.74074,  1.12765
10, -0.01161,  0.83618,  1.13536, -0.18740,  0.72593,  1.10756
11,  0.03021,  0.84642,  1.12256, -0.18627,  0.65926,  1.08760
12,  0.05247,  0.87713,  1.18405, -0.16824,  0.73333,  1.09426
13,  0.07822,  0.86348,  1.11479, -0.18906,  0.73333,  1.08840
14,  0.09337,  0.89420,  1.16413, -0.17107,  0.69630,  1.08958
15,  0.11636,  0.89420,  1.12891, -0.14317,  0.70370,  1.09313
16,  0.13731,  0.89420,  1.07298, -0.14249,  0.71111,  1.09826
17,  0.14703,  0.90785,  1.10221, -0.14694,  0.68148,  1.10225
18,  0.16945,  0.90785,  1.14151, -0.10901,  0.68148,  1.09762
19,  0.18857,  0.92150,  1.10217, -0.06815,  0.65926,  1.09106
20,  0.20365,  0.90444,  1.12126, -0.09938,  0.69630,  1.10461

Mean validation ll: -0.21162, Mean validation accuracy:  0.73000, Mean validation RMSE:  1.13630
