Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.59160,  0.66212,  1.40232, -0.44600,  0.78519,  1.30893
2, -0.44340,  0.72696,  1.27914, -0.36774,  0.78519,  1.19359
3, -0.38947,  0.72696,  1.20016, -0.32761,  0.78519,  1.20028
4, -0.35308,  0.72696,  1.12755, -0.30459,  0.78519,  1.18823
5, -0.29857,  0.74403,  1.14905, -0.28339,  0.78519,  1.16614
6, -0.25006,  0.74061,  1.21156, -0.26105,  0.78519,  1.14588
7, -0.19686,  0.76792,  1.17024, -0.23010,  0.77778,  1.12711
8, -0.14205,  0.77816,  1.16527, -0.19396,  0.74815,  1.10818
9, -0.07809,  0.80546,  1.12613, -0.15362,  0.71852,  1.05347
10, -0.05557,  0.82935,  1.12258, -0.13397,  0.69630,  1.05900
11,  0.00921,  0.81911,  1.08525, -0.13044,  0.71852,  1.05981
12,  0.04154,  0.86689,  1.05750, -0.11997,  0.65926,  1.05187
13,  0.07581,  0.87031,  1.14110, -0.10208,  0.67407,  1.04350
14,  0.08300,  0.88737,  1.11256, -0.07978,  0.68889,  1.05217
15,  0.10798,  0.87031,  1.17582, -0.09130,  0.68148,  1.05523
16,  0.13862,  0.89078,  1.16199, -0.08573,  0.65926,  1.05887
17,  0.14223,  0.88737,  1.08958, -0.10834,  0.67407,  1.06458
18,  0.16724,  0.89420,  1.07665, -0.07449,  0.64444,  1.06744
19,  0.18596,  0.87372,  1.11608, -0.05221,  0.67407,  1.07970
20,  0.20823,  0.88737,  1.14945, -0.08099,  0.65926,  1.07632

Mean validation ll: -0.18137, Mean validation accuracy:  0.71926, Mean validation RMSE:  1.10802
