Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.58889,  0.69625,  1.31550, -0.45152,  0.78519,  1.25254
2, -0.43224,  0.72696,  1.20923, -0.36447,  0.78519,  1.21456
3, -0.36791,  0.72696,  1.28301, -0.32633,  0.78519,  1.20284
4, -0.32438,  0.73038,  1.26988, -0.30028,  0.78519,  1.19316
5, -0.28895,  0.77133,  1.22719, -0.27460,  0.78519,  1.20243
6, -0.23385,  0.76451,  1.12947, -0.25184,  0.78519,  1.17799
7, -0.19141,  0.77474,  1.19494, -0.22232,  0.76296,  1.15834
8, -0.12775,  0.75427,  1.16230, -0.20187,  0.73333,  1.13081
9, -0.06332,  0.81911,  1.14517, -0.18155,  0.72593,  1.13277
10, -0.02623,  0.80887,  1.10579, -0.16714,  0.74815,  1.11767
11,  0.01510,  0.85324,  1.12355, -0.15073,  0.71111,  1.09972
12,  0.04910,  0.84642,  1.10707, -0.16415,  0.71111,  1.10363
13,  0.08174,  0.84983,  1.14480, -0.16552,  0.69630,  1.09450
14,  0.09981,  0.87031,  1.08994, -0.14963,  0.68889,  1.12582
15,  0.12213,  0.88055,  1.13939, -0.11911,  0.68148,  1.10323
16,  0.15058,  0.89078,  1.10177, -0.16908,  0.68889,  1.10584
17,  0.17297,  0.90102,  1.14012, -0.10251,  0.70370,  1.12377
18,  0.18402,  0.88055,  1.09594, -0.15476,  0.65185,  1.11620
19,  0.18552,  0.91468,  1.12977, -0.10776,  0.66667,  1.12734
20,  0.19038,  0.89761,  1.14224, -0.12860,  0.66667,  1.12908

Mean validation ll: -0.20769, Mean validation accuracy:  0.72741, Mean validation RMSE:  1.14561
