Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.60445,  0.66553,  1.19242, -0.44579,  0.78519,  1.21481
2, -0.43205,  0.72696,  1.17595, -0.35340,  0.78519,  1.19183
3, -0.37614,  0.72696,  1.17819, -0.33055,  0.78519,  1.18929
4, -0.33676,  0.73379,  1.20839, -0.30024,  0.78519,  1.15824
5, -0.29346,  0.75768,  1.19564, -0.28515,  0.75556,  1.17553
6, -0.24666,  0.76792,  1.21769, -0.25578,  0.72593,  1.16384
7, -0.17894,  0.76792,  1.18598, -0.22788,  0.74815,  1.14032
8, -0.13236,  0.80205,  1.18343, -0.19601,  0.72593,  1.12802
9, -0.07702,  0.79863,  1.18953, -0.19119,  0.69630,  1.15967
10, -0.02138,  0.82253,  1.13734, -0.17534,  0.74074,  1.16905
11,  0.02591,  0.86007,  1.14079, -0.16785,  0.66667,  1.13833
12,  0.04533,  0.88055,  1.13540, -0.15163,  0.63704,  1.15417
13,  0.06759,  0.87713,  1.11397, -0.16558,  0.68148,  1.13923
14,  0.10053,  0.91126,  1.09258, -0.16113,  0.68148,  1.13911
15,  0.12034,  0.89761,  1.14105, -0.16641,  0.67407,  1.13892
16,  0.14517,  0.89420,  1.14681, -0.16292,  0.69630,  1.11309
17,  0.14982,  0.90785,  1.16024, -0.15303,  0.68148,  1.12755
18,  0.16638,  0.91126,  1.14595, -0.12826,  0.68889,  1.14309
19,  0.16619,  0.89761,  1.13606, -0.10758,  0.65926,  1.16608
20,  0.20024,  0.91126,  1.18015, -0.11100,  0.69630,  1.15768

Mean validation ll: -0.21184, Mean validation accuracy:  0.71481, Mean validation RMSE:  1.15539
