Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.60366,  0.68601,  1.26064, -0.42681,  0.78519,  1.23422
2, -0.43295,  0.72696,  1.26344, -0.36286,  0.78519,  1.20676
3, -0.37924,  0.72696,  1.25945, -0.33392,  0.78519,  1.20686
4, -0.33781,  0.74061,  1.24864, -0.31309,  0.78519,  1.19015
5, -0.30889,  0.75085,  1.21114, -0.29880,  0.77778,  1.20480
6, -0.26457,  0.76451,  1.22692, -0.29284,  0.76296,  1.20928
7, -0.21502,  0.77816,  1.25284, -0.24641,  0.77778,  1.17268
8, -0.16584,  0.81229,  1.12683, -0.20076,  0.77037,  1.15819
9, -0.12427,  0.82253,  1.14674, -0.18023,  0.76296,  1.14277
10, -0.07217,  0.82253,  1.12046, -0.20508,  0.74815,  1.13500
11, -0.02641,  0.85666,  1.09298, -0.15467,  0.77037,  1.11241
12,  0.00569,  0.84983,  1.12272, -0.15151,  0.75556,  1.10618
13,  0.02586,  0.86007,  1.09128, -0.14695,  0.74815,  1.08744
14,  0.05406,  0.88055,  1.05776, -0.11422,  0.72593,  1.08484
15,  0.08436,  0.88737,  1.11971, -0.10783,  0.71852,  1.08416
16,  0.10760,  0.89420,  1.12716, -0.15083,  0.72593,  1.08779
17,  0.12888,  0.89761,  1.14078, -0.10349,  0.71111,  1.09697
18,  0.13675,  0.89078,  1.09307, -0.16164,  0.72593,  1.09438
19,  0.14930,  0.90444,  1.12312, -0.18751,  0.70370,  1.07580
20,  0.16822,  0.90102,  1.07204, -0.14608,  0.68889,  1.07685

Mean validation ll: -0.21428, Mean validation accuracy:  0.75074, Mean validation RMSE:  1.13838
