Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.57639,  0.68259,  1.22903, -0.44066,  0.78519,  1.21842
2, -0.43422,  0.72696,  1.22129, -0.36456,  0.78519,  1.17751
3, -0.37517,  0.72696,  1.21450, -0.32183,  0.78519,  1.17625
4, -0.33299,  0.74403,  1.22350, -0.29793,  0.77778,  1.15961
5, -0.29598,  0.74744,  1.24618, -0.27178,  0.77037,  1.11437
6, -0.23892,  0.76109,  1.21267, -0.25212,  0.75556,  1.19403
7, -0.19066,  0.79181,  1.21149, -0.21802,  0.74074,  1.13463
8, -0.13352,  0.79863,  1.12094, -0.19657,  0.71852,  1.08691
9, -0.08424,  0.79863,  1.17154, -0.15531,  0.71852,  1.09594
10, -0.04083,  0.82935,  1.19278, -0.16392,  0.71852,  1.10274
11,  0.00995,  0.83959,  1.16347, -0.12311,  0.69630,  1.09337
12,  0.03001,  0.86007,  1.08584, -0.10984,  0.69630,  1.09758
13,  0.07380,  0.86689,  1.14228, -0.14544,  0.71111,  1.11600
14,  0.08732,  0.86689,  1.13861, -0.15148,  0.70370,  1.10263
15,  0.10947,  0.85666,  1.17894, -0.14348,  0.69630,  1.10592
16,  0.13489,  0.89420,  1.16735, -0.10572,  0.70370,  1.06872
17,  0.16230,  0.89761,  1.14495, -0.10465,  0.70370,  1.06017
18,  0.16608,  0.88396,  1.18348, -0.12312,  0.69630,  1.07127
19,  0.18735,  0.90102,  1.14598, -0.08723,  0.68889,  1.06939
20,  0.19499,  0.91126,  1.11475, -0.18146,  0.71111,  1.08769

Mean validation ll: -0.19791, Mean validation accuracy:  0.72815, Mean validation RMSE:  1.11666
