Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.57725,  0.65529,  1.23319, -0.42990,  0.78519,  1.21547
2, -0.42441,  0.72696,  1.20583, -0.35565,  0.78519,  1.23070
3, -0.37223,  0.73038,  1.20874, -0.32820,  0.78519,  1.21349
4, -0.34224,  0.73038,  1.18582, -0.31207,  0.76296,  1.21178
5, -0.30414,  0.74403,  1.19023, -0.29266,  0.75556,  1.18129
6, -0.26010,  0.76792,  1.12602, -0.25798,  0.69630,  1.16195
7, -0.21310,  0.80205,  1.19659, -0.24509,  0.68148,  1.16788
8, -0.15971,  0.79522,  1.10077, -0.23421,  0.66667,  1.18776
9, -0.10299,  0.80887,  1.14100, -0.23212,  0.66667,  1.19788
10, -0.05537,  0.84300,  1.09302, -0.14054,  0.68889,  1.11691
11, -0.01578,  0.87031,  1.14482, -0.13094,  0.68148,  1.14211
12,  0.03796,  0.87713,  1.16927, -0.14671,  0.65926,  1.13158
13,  0.05284,  0.88055,  1.11443, -0.14944,  0.67407,  1.15695
14,  0.08619,  0.90102,  1.14967, -0.10492,  0.68889,  1.11026
15,  0.10685,  0.91809,  1.11884, -0.10689,  0.66667,  1.13860
16,  0.13465,  0.88396,  1.11511, -0.08496,  0.65926,  1.12104
17,  0.15361,  0.91126,  1.09279, -0.06205,  0.67407,  1.11367
18,  0.16875,  0.90785,  1.10316, -0.02720,  0.65926,  1.11186
19,  0.18955,  0.89420,  1.12342, -0.11736,  0.64444,  1.12174
20,  0.21844,  0.92833,  1.15608, -0.10417,  0.64444,  1.10978

Mean validation ll: -0.19315, Mean validation accuracy:  0.69630, Mean validation RMSE:  1.15713
