Epoch, Train Log-likelihood, Train Accuracy, Train RMSE, Validation Log-likelihood, Validation Accuracy, Validation RMSE
1, -0.57090,  0.67235,  1.29960, -0.42280,  0.78519,  1.21033
2, -0.42698,  0.72696,  1.24036, -0.35533,  0.78519,  1.20071
3, -0.36362,  0.72355,  1.22152, -0.33235,  0.78519,  1.20568
4, -0.31927,  0.73720,  1.24587, -0.30645,  0.78519,  1.18656
5, -0.27608,  0.73720,  1.19880, -0.28325,  0.78519,  1.16785
6, -0.23612,  0.76451,  1.22605, -0.25527,  0.77778,  1.14296
7, -0.17564,  0.76451,  1.12092, -0.23410,  0.77037,  1.12000
8, -0.13228,  0.79522,  1.20471, -0.21609,  0.69630,  1.11243
9, -0.08866,  0.80887,  1.13517, -0.22123,  0.75556,  1.10499
10, -0.04674,  0.83959,  1.11426, -0.18981,  0.74815,  1.10783
11,  0.00926,  0.82253,  1.10251, -0.16927,  0.71111,  1.09507
12,  0.04157,  0.85666,  1.12468, -0.16395,  0.71852,  1.08161
13,  0.05635,  0.88737,  1.09145, -0.16922,  0.72593,  1.10239
14,  0.07822,  0.86007,  1.11252, -0.11586,  0.71852,  1.08234
15,  0.10507,  0.89078,  1.06633, -0.10799,  0.70370,  1.08366
16,  0.11607,  0.86348,  1.10767, -0.17944,  0.71852,  1.08907
17,  0.14255,  0.87713,  1.07353, -0.12664,  0.71111,  1.08686
18,  0.16564,  0.90102,  1.04909, -0.13388,  0.70370,  1.09089
19,  0.18847,  0.89761,  1.02567, -0.14961,  0.68148,  1.10589
20,  0.19625,  0.91126,  1.07839, -0.11604,  0.68148,  1.09639

Mean validation ll: -0.21243, Mean validation accuracy:  0.73741, Mean validation RMSE:  1.12368
